Date,Day,Month,Year,Is_Trading_Day,Market_Open,Market_Close,Status,Description
10/13/2025,Monday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/14/2025,Tuesday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/15/2025,Wednesday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/16/2025,Thursday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/17/2025,Friday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/18/2025,Saturday,October,2025,2025,FALSE,CLOSED,CLOSED,Weekend
10/19/2025,Sunday,October,2025,2025,FALSE,CLOSED,CLOSED,Weekend
10/20/2025,Monday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/21/2025,Tuesday,October,2025,FALSE,CLOSED,CLOSED,CLOSED,Diwali Laxmi Pujan*
10/22/2025,Wednesday,October,2025,FALSE,CLOSED,CLOSED,CLOSED,Diwali-Balipratipada
10/23/2025,Thursday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/24/2025,Friday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/25/2025,Saturday,October,2025,2025,FALSE,CLOSED,CLOSED,Weekend
10/26/2025,Sunday,October,2025,2025,FALSE,CLOSED,CLOSED,Weekend
10/27/2025,Monday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/28/2025,Tuesday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/29/2025,Wednesday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/30/2025,Thursday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
10/31/2025,Friday,October,2025,TRUE,9:15:00,15:30:00,TRADING,
11/1/2025,Saturday,November,2025,2025,FALSE,CLOSED,CLOSED,Weekend
11/2/2025,Sunday,November,2025,2025,FALSE,CLOSED,CLOSED,Weekend
11/3/2025,Monday,November,2025,TRUE,9:15:00,15:30:00,TRADING,
11/4/2025,Tuesday,November,2025,TRUE,9:15:00,15:30:00,TRADING,
11/5/2025,Wednesday,November,2025,FALSE,CLOSED,CLOSED,CLOSED,Prakash Gurpurb Sri Guru Nanak Dev
11/6/2025,Thursday,November,2025,TRUE,9:15:00,15:30:00,TRADING,
11/7/2025,Friday,November,2025,TRUE,9:15:00,15:30:00,TRADING,
11/8/2025,Saturday,November,2025,2025,FALSE,CLOSED,CLOSED,Weekend
11/9/2025,Sunday,November,2025,2025,FALSE,CLOSED,CLOSED,Weekend
11/10/2025,Monday,November,2025,TRUE,9:15:00,15:30:00,TRADING,
11/11/2025,Tuesday,November,2025,TRUE,9:15:00,15:30:00,TRADING,
11/12/2025,Wednesday,November,2025,TRUE,9:15:00,15:30:00,TRADING,
11/13/2025,Thursday,November,2025,TRUE,9:15:00,15:30:00,TRADING,
11/14/2025,Friday,November,2025,TRUE,9:15:00,15:30:00,TRADING,
11/15/2025,Saturday,November,2025,2025,FALSE,CLOSED,CLOSED,Weekend
11/16/2025,Sunday,November,2025,2025,FALSE,CLOSED,CLOSED,Weekend
11/17/2025,Monday,November,2025,TRUE,9:15:00,15:30:00,TRADING,
11/18/2025,Tuesday,November,2025,TRUE,9:15:00,15:30:00,TRADING,
11/19/2025,Wednesday,November,2025,TRUE,9:15:00,15:30:00,TRADING,
11/20/2025,Thursday,November,2025,TRUE,9:15:00,15:30:00,TRADING,
