Date,Day,Month,Year,Is_Trading_Day,Market_Open,Market_Close,Status
2025-01-23,Thursday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-24,Friday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-25,Saturday,January,2025,False,CLOSED,CLOSED,HOLIDAY
2025-01-26,Sunday,January,2025,False,CLOSED,CLOSED,HOLIDAY
2025-01-27,Monday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-28,Tuesday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-29,Wednesday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-30,Thursday,January,2025,True,09:15:00,15:30:00,TRADING
2025-01-31,Friday,January,2025,True,09:15:00,15:30:00,TRADING
2025-02-01,Saturday,February,2025,False,CLOSED,CLOSED,HOLIDAY
2025-02-02,Sunday,February,2025,False,CLOSED,CLOSED,HOLIDAY
2025-02-03,Monday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-04,Tuesday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-05,Wednesday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-06,Thursday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-07,Friday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-08,Saturday,February,2025,False,CLOSED,CLOSED,HOLIDAY
2025-02-09,Sunday,February,2025,False,CLOSED,CLOSED,HOLIDAY
2025-02-10,Monday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-11,Tuesday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-12,Wednesday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-13,Thursday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-14,Friday,February,2025,False,CLOSED,CLOSED,HOLIDAY
2025-02-15,Saturday,February,2025,False,CLOSED,CLOSED,HOLIDAY
2025-02-16,Sunday,February,2025,False,CLOSED,CLOSED,HOLIDAY
2025-02-17,Monday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-18,Tuesday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-19,Wednesday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-20,Thursday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-21,Friday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-22,Saturday,February,2025,False,CLOSED,CLOSED,HOLIDAY
2025-02-23,Sunday,February,2025,False,CLOSED,CLOSED,HOLIDAY
2025-02-24,Monday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-25,Tuesday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-26,Wednesday,February,2025,False,CLOSED,CLOSED,HOLIDAY
2025-02-27,Thursday,February,2025,True,09:15:00,15:30:00,TRADING
2025-02-28,Friday,February,2025,True,09:15:00,15:30:00,TRADING
2025-03-01,Saturday,March,2025,False,CLOSED,CLOSED,HOLIDAY
2025-03-02,Sunday,March,2025,False,CLOSED,CLOSED,HOLIDAY
2025-03-03,Monday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-04,Tuesday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-05,Wednesday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-06,Thursday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-07,Friday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-08,Saturday,March,2025,False,CLOSED,CLOSED,HOLIDAY
2025-03-09,Sunday,March,2025,False,CLOSED,CLOSED,HOLIDAY
2025-03-10,Monday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-11,Tuesday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-12,Wednesday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-13,Thursday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-14,Friday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-15,Saturday,March,2025,False,CLOSED,CLOSED,HOLIDAY
2025-03-16,Sunday,March,2025,False,CLOSED,CLOSED,HOLIDAY
